CRS_CODE,CRS_NAME
TMSPRISHEA01,MSc Primary Health Care
TMSPSYSCLI01,MSc Clinical Psychology
TMSPSYSCOG01,MSc Cognitive Neuropsychology
TMSPSYSPDP01,MSc Psychoanalytic Developmental Psychology
TMSPSYSRES01,MSc Research Methods in Psychology
TMSPOLSEGV01,MSc E-Government
TMSPOLSEPP01,MSc European Public Policy
TMSPOLSIHP01,MSc International Health Policy
TMSPOLSPUB01,MSc Public Policy
TMSPOLSIPP01,MSc International Public Policy
TMSREFSING01,MSc Refrigeration and Air-Conditioning
TMSRPHSING01,MSc Radiation Physics
TMSSPESEAR01,MSc Speech and Hearing Sciences
TMSSPOSING01,MSc Sports and Exercise Medicine
TMSSPSSING01,MSc Space Science
TMSSPSSTEC01,MSc Spacecraft Tech. & Satellite Comms
TMSSTASING01,MSc Statistics
TMSSTISING01,MSc Sexually Transmitted Infections and HIV
TMSSTRSDES01,MSc Structural Design
TMSSYSSMGT01,MSc Systems Engineering Management
TMSTELSBUS01,MSc Telecommunications Business
TMSTELSIGD01,MSc Telecommunications (IGDP)
TMSTELSING01,MSc Telecommunications
TMSURLSING01,MSc Urology
TMSURLSREN01,MSc Renal Science
TPCARCSTCP01,Coll Dip Town and Country Planning
TPCDEVSING01,Coll Dip Development and Planning Studies
TPCEARSMPL01,Coll Dip Micropalaeontology
TPCIONSCLN01,Coll Dip Clinical Neurology
TPCPBSSICT01,Coll Dip Inter-Cultural Therapy
TPCSTASING01,Coll Dip Statistics
TPCURLSING01,Coll Dip Urology
TPGBENSING01,Grad Dip Biochemical Engineering
TPGBLTSAAC01,Grad Dip Built Environment: Adapt Archit & Computn
TPGBLTSAAS01,Grad Dip Built Environment : AAS
TPGBLTSAHS01,Grad Dip Built Environment : Architectural History
TPGBLTSCEM01,Grad Dip Built Environment : CEM
TPGBLTSCRM01,Grad Dip Built Environment : CRM
TPGBLTSEDE01,Grad Dip Built Environment : EDE
TPGBLTSFEM01,Grad Dip Built Environment : FEM
TPGBLTSHFT01,Grad Dip Built Environment : Housing Futures
TPGBLTSING01,Grad Dip Built Environment
TPGBLTSLDS01,Grad Dip Built Environment : Landscape Design
TPGBLTSLIG01,Grad Dip Built Environment : Light and Lighting
TPGBLTSPEM01,Grad Dip Built Environment : PEM
TPGBLTSSUS01,Grad Dip Built Environment : Sustainable Heritage
TPGBLTSURB01,Grad Dip Built Environment : Urban Design
TPGCHISHIN01,Grad Dip Health Informatics
TPGCHISRSK01,Grad Dip Risk Management
TPGCOMSDCN01,Grad Dip Data Communications Networks & D S
TPGCOMSING01,Grad Dip Computer Science
TPGCRISPCS01,Grad Dip Crime Prevention and Community Safety
TPGDEFSING01,Grad Dip Defence Systems Engineering
TPGRAMSING01,Grad Dip Records and Archives Management (Int)
TPGREFSING01,Grad Dip Refrigeration and Air-Conditioning
TPGRPHSING01,Grad Dip Radiation Physics
TPGSPOSING01,Grad Dip Sports and Exercise Medicine
TPGSPSSING01,Grad Dip Space Science
TPGSTISING01,Grad Dip Sexually Transmitted Infections and HIV
TPGSYSSMGT01,Grad Dip Systems Engineering Management
TPLARLSCLA01,Diploma Classical Archaeology
TPLEDISDPH01,Diploma Dental Public Health
TPLEDISRDP01,PG Diploma Restorative Dental Practice
TPLEDISTOH01,Diploma Transcultural Oral Health
TPLLAWSING01,Diploma Law
UAFARCSPLS01,Affil - Cat 1 Planning Studies
UAFLNGSUPC01,Affiliate Univ Prep Cert for Science/Eng
UBAANTAGEO01,BA Anthropology and Geography
UBAARLACLA01,"BA Archaeology, Classics and Classical Art"
UBAARLAHAR01,BA Archaeology and History of Art
UBAARLSEGY01,BA Egyptian Archaeology
UBAARTSHMT01,BA Humanities
UBABULAEES01,BA Bulgarian and East European Studies
UBACEESING01,BA Contemporary East European Studies
UBACLASANC01,BA Ancient World
UBADUTAFRE01,BA Dutch and French
UBADUTAITA01,BA Dutch and Italian
UBADUTAMAN01,BA Dutch and Management Studies
UBADUTASCA01,BA Dutch and Scandinavian Studies
UBADUTASPA01,BA Dutch and Spanish
UBADUTSING01,BA Dutch
UBADUTWMAN01,BA Dutch with Management Studies
UBAEBSWEEA01,BA Economics & Busns w East Euro Studs w Yr Abrd
UBAEBSWEES01,BA Economics & Business with East European Stud
UBAEELALAN01,BA East European Lang & French/German/Italian
UBAEESSING01,BA East European Studies
UBAENGAGER01,BA English and German
UBAENGAHAR01,BA English and History of Art
UBAFINSING01,BA Fine Art
UBASERAEES01,BA Serbian / Croatian and East European Studies
UBASHSSING01,BA Social and Historical Sciences
UBASLOAEES01,BA Slovak (with Czech) and East European Studies
UBASPAAHAR01,BA Spanish and History of Art
UBASPAWMAN01,BA Spanish with Management Studies
UBAUKRAEES01,BA Ukrainian and East European Studies
UBEECOSING01,BSc(Econ) Economics
